,seq,name,content,class
128,128,أكرم صالح محمد الملا بكر ,ولد في الموصل/1942. حصل على شهادة بكلوريوس هندسة كهربائية.الكلية وسنة التخرج:1-معهد الهندسة الصناعية العالي 1966، 2-الجامعة التكنولوجية/ بغداد 1976.الوظائف التي شغلها:1-معاون مهندس في بلدية سنجار/مديرية بلديات نينوى عام 1966. 2-مدرس في إعدادية الموصل الصناعية المباشرة في 13/4/1967. 3-رئيس قسم الكهرباء في إعدادية الموصل الصناعية عام 1970.4-مدرس في إعدادية الكرخ الصناعية/بغداد 1974-1976. 5-معاون فني في إعدادية الموصل الصناعية 1977.6-مدير إعدادية الحدباء الصناعية 1978. 7-مدير إعدادية الموصل الصناعية 1979. 8-مدير إعدادية الجزيرة الصناعية 1980. 9-معاون مدير شعبة مشاريع المحافظات الشمالية التابعة لمؤسسة التعليم المهني 1985.10-اختصاصي تربوي/مهني 1992,0
129,129,اكرم ضياء العمري ,ولد بالموصل عام1942 وانهى فيها دراسته الابتدائية والثانوية تخرج في قسم التاريخ في كلية الآداب عام1966 اشتغل في التدريس.له مؤلفات عدة منها:  1- خليفة بن خياط موارده (تحقيق ودراسة)1996 2-كتاب الطبقات لخليفة بن خياط (تحقيق)1967 3- تاريخ خليفة بن خياط (تحقيق) 1967 4- بحوث في السنة المشرفة 1967 5- العامة في بغداد في آواخر العصر الايلخاني 1978.,0
130,130,أكرم عبد الوهاب هـ ,ولد في الموصل عام 1374هـ دخل المدرسة ثم انتقل الى المعهد الاسلامي في الموصل عام 1394هـ ثم كلية الشريعة وتخرج فيها عام 1398 بشهادة بكالوريوس في اصول الدين ودرس على شيوخ اعلام، بشير الصقال، محمد ياسين، محمد صالح الجوادي، الملا عثمان الجبوري، سالم عبد الرزاق، ذنون البدراني، عبد الوهاب محمد امين. من مولفاته:- 1-هداية المرتاب في اهداء النواب لمحمد امين (تحقيق)ط. 2-الدلالات القاطعات في اثبات المكرمات لمحمد امين (تحقيق)ط. 3-اللطف الذاتي في مناقب الشيخ البريفكاني ط. 4-الشرح المختار على منظومة انوار السرائر وسرائر الانوار ط. 5-الروض العطر الى القول بحياة الخضر خ. 6-حكم التوسل بين المميز المانع ط. 7-كف الملام عن الافطار والصيام لمحمد امين (تحقيق)ط. 8-ارشاد المبررة الى قولهم العبادة قصد والغاية ثمرة خ. 9-المهج الغوالي في المسلسلات والاسانيد العوالي. 10-منظومة الاسناد في سلاسل الاسناد: الامداد بشرح منظومة الاسناد وهي اتحاف البرية بخطب الجمعة والعيدين المنبرية، اجوبه الثلاثاء في التوحيد والفقه تحقيق رسالة سرور الطالبين في التصوف، نهجة الناضر شرح بهجة الناظر في التجويد بالاشتراك مع سالم عبد الرزاق. 11-ديوان شعر. منح عدد من الاجازات العلمية منها :1-اجازة الطريقة النورية القادرية مع كتاب فرج الكروب ودلائل الخيرات سنة 1396. 2-اجازة بكتاب الفوائد الجليلة وعقد الجواهر لابن عقيل من الشيخ حسين فوزي 1397. 3-اجازة في علم التجويد من سالم عبد الرزاق 1399. 4-اجازة العلوم العقلية والنقلية من الملا صالح البامرني 1403. 5-اجازة العلوم العقلية والنقلية عن محمد ياسين 1405. 6-اجازة الاسعاد بمهمات الاسناد من محمد ياسين 1405. 7-اجازة العلوم وكافة كتب الاسلام واثبات ومشيخات المسندين من محمد ياسين. 8-اجازة من الشيخ المسلك القطب مصطفى الاربيلي النقشبندي بالعلوم الشرعية والعقلية 1405.,1
131,131,أكرم فاضل الصيدلي ,"ولد أكرم فاضل الصيدلي في الموصل عام 1918 من اسرة تعنى بالأدب والمسألة الوطنية فقد كان والده فاضل الصيدلي شاعراً له ديوان بعنوان (هدية الأحرار) وكان عضواً في نادي الحمراء الذي أسسه رؤوف الغلامي وهو منبثق عن جمعية العهد ذات الاتجاه القومي والمطالبة بعروبة الموصل وانضمامها الى العراق وتخلصها من السيطرتين العثمانية والإنكليزية، واخوه عبد الحق فاضل الذي يعد من أوائل كتاب القصة والرواية في العراق في الثلاثينات من هذا القرن. تخرج أكرم فاضل في مدرسة الصناعة في الموصل، فرع التجارة، وعمل معلماً في القرى وشغف بالأدب الفرنسي المترجم واخذ الأدب الفرنسي من منابعه، فانكب على دراسة اللغة الفرنسية دون معين، حتى أتقن اللغة الفرنسية إتقاناً مكنه من ترجمة شعر فكتور هيجو والفرد دو موسيه وغيرهما من فحول الشعراء الفرنسيين الى العربية، وقد حاول أكرم فاضل إتقان التلفظ عن طريق الممارسة، فناضل للتخلص من الريف وتنقل في عدة وظائف حتى تمكن من الوصول الى بغداد، وصار يبحث عمن يحسن التكلم بهذه اللغة، ويتوصل اليهم عن طريق معارفه أو مصادفة في الطريق يقول ذو النون أيوب عن هذه الظاهرة :"" فكم من مرة كنت أتمشى معه فأراه يترك صحبتي لمجرد أن يسمع من تكلم بهذه اللغة فيطاردهم اذا كانوا سائرين أو يقف بينهم مرهفاً أذنيه إذا كانوا واقفين وعلى وجهه ابتسامة سعادة، وقد يدفعه الشوق الى الدخول بينهم في الحديث ويتوقف حظه عند ذاك على طبيعة الذين يقتحم حماهم، فأما أن يكونوا كرماء يرضون فضوله ويشبعون نهمه او يتلقوه بما يليق بأمثاله ممن يتجسس على أحاديث غيره أو يحشر نفسه بينهم فضولاً فيرجع بعد أن يسمع ما يسوءه. رغم أنه خجول حساس-ضاحكاً مستبشراً. ثم يعيد الكرة مرة أخرى، ودفعه طموحه الى الدخول في كلية الحقوق الدراسة المسائية، وتخرج فيها عام 1951، وسافر الى فرنسا لإكمال دراسته في العلوم السياسية في جامعة دبحون في فرنسا، وحصل على شهادة الدكتوراه في العلوم السياسية عام 1955، وتقلب في العديد من الأعمال الإدارية، وأصبح مديراً لدائرة التراث الشعبي في وزارة الإعلام لمدة طويلة، ودرس الأدب الشعبي والعلوم السياسية في الجامعات العراقية في بغداد، ثم احيل الى التقاعد، وبقي حتى وفاته نشطاً في الكتابة فقد كتب عن ذكرياته في جريدة العراق كما نشر مقالات عدة وروداً كثيرة في الصحف والمجلات العراقية.  وقد ظهر له عشرة كتب تتراوح بين الدواوين الشعرية والأعداد والترجمة:1-الكوميديا البشرية (شعر) 1948. 2-في المقاهي والملاهي (شعر) 1975. 3-الآباء والبنون، نور جنين (ترجمة بالمشاركة مع ذي النون أيوب) 1948. 4-يا لحياة المنفى من مهنة شاقة، مسرحية لناظم حكمت(ترجمة). 5-جان دارك العرب-جميلة بوحريد-(إعداد). 6-مأساة الشعب الجزائري (إعداد). 7-اللقيطة، لوسيت توفيق (ترجمة). 8-الحياة في العراق منذ قرن، ببير ده فوصيل (ترجمة) . 9-آراء أحرار العالم في قضية فلسطين (ترجمة). 10-المعجم المفصل بأسماء الملابس عند العرب دوزي(ترجمة).وله أيضاً ذكرياته التي نشرها في جريدة العراق ولم تجمع في كتاب، هذا بالإضافة الى العدد الكبير من المقالات المنشورة في الصحف والمجلات العراقية والعربية.مارس أكرم فاضل كتابة الشعر منذ أول ممارسته للكتابة وجمع شعره في ديوانين (الكوميديا البشرية) 1948 و(في المقاهي والملاهي) 1975 وقد التزم أكرم فاضل في شعره بالشعر العمودي الموزون المقفى، ولكنه خرج في بعض قصائده الى القصيدة المتعددة القوافي كما في قصائده (الكوميديا البشرية، إشراف روما ضحية، محنة حلاق، الرقاعة، مخزن المتناقضات) على سبيل المثال لا الحصر، وتأتي مثل هذه القصائد على هذا المنوال:	أرسل لي ليلاً مدير الناحية      	رسالة شديدة منافية      	وأنتظر الرسول دون الباب       -مرتعشاً 	مسبحاً-جوابي      	يرتجف المسكين من قر الشتا      	وأبصر النار فما تهافتا       	تأخذني بهؤلاء الشفقة      	طبعاً بلا تصنع أو حذلقة      	طلبت منه أن يجئ يصطلي      	فقالا، أنت تدفأ بدلي      	وأن أجلس بقرب الأحذية      	هذا الذي قدره الله ليه      	فكيف قرب السيد الكريم       	موظف الحكومة العظيم       ",0
132,132,اكرم نجيب ,اخصائي جراحة القلب والصدر درس في كلية طب الموصل عام 1965 ذهب الى اميركا بعد صراع مع الاطباء في الموصل.,0
133,133,اكرم يونس الساعاتي ,ولد في العام 1941 في الموصل..حصل على شهادة البكالوريوس في الهندسة المدنية في جامعة بغداد عام 1963، وشهادة الدبلوم العالي في الانشاءات والتربة في جامعة الموصل عام 1977 وشهادة الماجستير في جامعة الموصل في الانشاءات سنة 1978. كما حصل على شهادة الدكتوراه في الانشاءات المعمارية في جامعة سوانزي في انكلترا في العام 1988. عمل رئيساً لقسم الهندسة المعمارية مرتين في المرة الاولى للمدة 1995-2001 وفي المرة الثانية منذ العام 2004 ولغاية يومنا هذا كما عمل مديراً ومؤسساً لمركز الرصد وبحوث الفضاء والفلك منذ العام 2003 والعمل متوقف حالياً في هذا المركز لعدم اكتمال اجهزته.كما عمل عضواً في مجلس ادارة الاتحاد العربي لعلوم الفضاء والفلك في عمان بالاردن من العام 2000 وحتى الان وحصل على مرتبة الاستاذية في ايار من العام2000 نشر عدداً من البحوث تزيد على السبعة والعشرين بحثاً منها اثنان في علوم الحاسبات وستة في الفلك والرياضيات وثلاثة في الهندسة الميكانيكية وستة عشر في الانشاءات. و نشر خمسة منها في مؤتمرات عالمية خارج العراق وخمسة اخرى في دوريات عالمية خارج العراق وسبعة عشر في دوريات ومؤتمرات علمية عراقية. اشرف على سبعة عشر طالباً منهم (4) طلبة ماجستير في الهندسة المدنية وطالب ماجستير واحد في الفلك في جامعة بغداد و (5) طلاب ماجستير في علوم الحاسبات و (5) طلاب دكتوراه في الهندسة المدنية وطالب دكتوراه واحد في الهندسة الميكانيكية وطالب دكتوراه واحد في الفلك وهو من جامعة بغداد.من بين خصوصياته وريادته للافاق فقد انجز التقويم الفلكي العربي في دوراته المتتالية منذ العام1999 أي مع بدء الالفية الثالثة ومستهل القرن الحادي والعشرين.. وهذا التقويم كان متوقفاً منذ العصر العباسي، ويعد التقويم الفلكي الذي انجزه لجامعة الموصل احد اشهر اربعة تقاويم في العالم. والتقويم هو عمل فلكي رياضي لجداول دقيقة جداً لمواقع الاجرام السماوية والاحداث الفلكية نشر منه ثلاثة مجلدات سنوياً من 1999-2001 (عدد الصفحات 250) ثم استمر اخراجه على شكل اقراص حاسبة لتسهيل الاستخدام واختصار جهود الطبع، مسجل في الاتحاد العربي لعلوم الفضاء والفلك في عمّان وهو التقويم العربي الوحيد حالياً استغرق انجاز هذا العمل واخراجه بكامل دقته اكثر من 25سنة ليصبح مقارباً في دقته لادق تقويم فلكي في العالم وهو الذي تنشره وكالة الفضاء الامريكية والمعروف بـ (DE200) ولاتنحصر اهميته في الجداول المحسوبة بل في طريقة الحساب الرياضية المبتكرة التي تصلح لعشرة الاف سنة ماضياً ومستقبلاً.عمل (فخرياً) كخبير للمقام العراقي في وزارة الثقافة والاعلام للسنوات 1990-2000 وجمع خواص وتاريخ التراث الغنائي الموسيقي الذي تمتد جذوره الى العهد البابلي. دراسة خواصه الجمالية باستخدام التحليل الرياضي العلمي لمفاهيم الجمال في المقياس الانساني وعلاقة ذلك بحركة كوكب الارض وتأثيره بالجاذبية اهتزازاً يطابق النغمات التي يألفها الانسان وشملت الدراسة مقارنة مع انماط الخط العربي والتطابق التام مع النغمات واهتزازات الارض. قدم محاضرات علمية كثيرة حول هذا الموضوع في العراق وخارج العراق.اثارت مناقشات واهتمامات علمية واسعة لاول مرة في هذا النمط من الدراسات في هذا المجال (اخضاع مقاييس الجمال للتحليل العددي).,0
134,134,أكوب كبرائيل,أصدر روايته (عجائب الزمان في صروح البلدان) عام 1928 وهي أقرب إلى المقامة منها إلى الفن القصصي يقارن فيها بين تمدن الغرب والتخلف في المشرق العربي على نمط ما كان يفعله الكتاب اللبنانيون آنذاك.,0
135,135,البرتين ايليا حبوش ,ولدت بالموصل واكملت دراستها الابتدائية والثانوية فيها، وتخرجت في دار المعلمين العالية قسم الكيمياء بدرجة الشرف والتحقت بالبعثة العلمية لوزارة المعارف عام 1953 وحصلت على  MSC في الكيمياء التحليلية سنة 1955 ثم على الدكتوراه في الكيمياء التحليلية سنة 1959 من جامعة اوهايو الرسمية في الولايات المتحدة الاميركية وعينت في كلية العلوم/ جامعة بغداد واصبحت استاذة مساعدة عام 1965 وارتقت الى مرتبة استاذ عام 1971. ونشرت بحوثها في المجلات العلمية والادبية وجل بحوثها في الكيمياء التحليلية الكروماتوكرافية والتحليلية الكهربائية وفي التحاليل الدقيقة وتلوث البيئة حيث قامت باستحداث طرق تحليلية كيميائية جديدة في تحليل وتقدير الوقود والنفط ومشتقاته وبحوث نظرية في كروماتوكرافيا الغاز ونشرت ما يزيد على السبعين بحثاً وحصلت على ثلاث براءات اختراع في تقدير انواع الكبريت المختلفة في النفط الخام ومشتقاته وعد قسم من بحوثها بحوثا متميزة من قبل مؤسسات علمية كثيرة وحضرت ما يقرب من عشرين مؤتمراً في الكيمياء في اميركا ولندن ورشحت من قبل جامعة بغداد لنيل جائزة العالم الثالث في العلوم وامضت ست سنوات في الولايات المتحدة وزارتها اربع مرات لحضور مؤتمرات علمية وامضت ستة اشهر في جامعة اكسفورد بانكلترا لاجراء البحوث وثلاثة اشهر في هنغاريا والفت كتابا منهجيا يدرس في جميع الجامعات العراقية بعنوان: طرق الفصل في التحليل الكيميائي.,0
136,136,ألبير أبونا الكلداني ,ولد في قرية فيش خابور. درس في معهد مار يوحنا الحبيب للآباء الدومنيكان في الموصل اثنتي عشرة سنة وصار قسيساً كلدانياً سنة 1951. خدم في منطقة زاخو اربع سنوات وانتقل بعدئذ الى الموصل للتدريس في المعهد الديني المذكور اعلاه استاذ اللغة الآرامية مدة عشرين سنة تقريباً ثم انتقل الى بغداد لمواصلة خدماته الدينية والتعليمية وقد تولى رئاسة تحرير مجلة بين النهرين بعد وفاة القس يوسف حبي، اصدر القس البير ابونا العديد من الكتب الدينية والتاريخية والتربوية ويعد كتابه (تاريخ ادب اللغة الآرامية)من اهم المراجع العلمية والتاريخية وقد طبع مرتين. ومن كتبه: 1- شهداء المشرق 2- المسيحيون الأولون 3- تريزا ام الفقراء 4- تاريخ الكنيسة السريانية الشرقية (ثلاثة اجزاء) 5- الآراميون 1963(ترجمة) 6- افكار وخواطر 1963(ترجمة) 7- اله المساكين 1962 (ترجمة)8- سلسلة كلام الله 1961(ترجمة)9- يسوع الكاهن الأوحد 1965(ترجمة)10- هل من تحريف في الانجيل؟ 1965 11- الكنيسة فيما بين النهرين 12- كتاب الرؤساء 1966،13-الفكر المسيحي 14- فجر الكنيسة 15-الزواج المسيحي 1965، 16-تقدم الشعوب 1968 17- سعادتي في الايمان 1969، وله العديد من الدراسات والبحوث والمقالات في الدوريات المحلية والعربية والعالمية. وهو الآن متقاعد في دار الرهبان في بغداد  ,0
137,137,البير ايليا يوسف ,ولد في الموصل وانهى فيها دراسته الاولية وحصل على بكالوريوس هندسة ميكانيكية وماجستير ودكتوراه في الهندسة الميكانيكية من جامعات انكلترا 1967-1972. وحصل على دبلوم في العلوم الميكانيكية من المركز الدولي للعلوم الميكانيكية في ايطاليا. عين استاذا في كلية الهندسة بجامعة بغداد وهو عضو في جمعية المهندسين العراقية والبريطانية وجمعية ASME الاميركية. ساهم في اكثر من مؤتمر هندسي عقد في بريطانيا واليابان واميركا وهنغاريا.ومن اكتشافاته:بحوث مبتكرة في حقل الترايبولوجي وله ابتكار في تحليل الاجهادات. اشرف على عدد من الرسائل الجامعية 1974-1992.  من مؤلفاته:-  1-اجهادات عملة الرافعة 1970. 2-خواص المحامل الميكانيكية 1985.,0
138,138,عبد الله السليم آل داؤد أغا ,"من الرجال الاتقياء الورعين وله سيرة حسنةبين الناس طيلة مدة حياته يعطف على الفقراء ويجالسهم ويجتمع بهم في مناسبات شهر رمضان وكان من المتعلمين فقد انهى الدراسة الاعدادية في عهد مبكر من العهد العثماني وله دراية ومعرفة واطلاع في الامور الدينية والشرعية، وانتخب عضواً في مجلس اللواء (لواء الموصل) آنذاك في العهد الملكي، كان يحوز على ختم معدني رسمي مؤرخ في عام1952 مدون عليه مايلي: "" حاج عبدالله رئيس الحياليين ""، وقد صورت نسخاً منه للفائدة العامة وكتراث.",0
139,139,علي الطالب ,"ولد علي الطالب في الموصل في محلة المكاوي وكان والده الحاج طالب يعمل في تجارة الخيول العربية الاصيلة بين الهند والعراق. وكان من اشهر تجار هذه التجارة بين العرب في عصره. وهو الولد الاكبر للحاج طالب ""وهو من ذوي الحظوظ وسعد آل الطالب كان معقوداً على ناصيته موفقاً بأعماله في كل حياته، محباً لاصدقائه وذويه وجميع الناس مما يدل على طيب نفسه وصفاء قلبه وحسن نيته دائباً على اعمال الخير، ومما يمكن عنه عندما سافر الى الحج مع جمع من اصحابه ونوى ان يقوم بواجبهم على حسابه، تبرع بتقديم النفقة نيابة عنهم متظاهراً انه سيستوفيها منهم بعد العودة، حتى اذا حجوا وعاودا ان يدفعوا ماعليهم. استمهلهم لحين تسوية الحساب، ولما اعادوا عليه الكرة مراراً وهو يشاغلهم فهموا قصده وشكروا فضله. وكان اذا ماذهب الى حمام او جلس في مقهى يدفع حساب كل الجالسين. ولهذا طغى اسمه على اسم اخويه الاصغر منه سناً، مصطفى وجارالله. وما ان اشتد عوده حتى اشرف على تجارة والده وكان ينقل الخيول العربية الاصيلة من الموصل بـ (الطرادات) عبر نهر دجلة الى البصرة وينقلها في البواخر من البصرة الى بومباي ولاتقل الشحنة الواحدة عن اربعمائة رأس من الخيل. وكانت الرحلة شاقة فينصب الاسمطة ويطعم كل العرب الذين رافقوه في الرحلة ام كانوا نازلين في المكان الذي تقف فيه الطرادات او في الباخرة التي تقلهم الى بومباي. وكان لهم في الموصل اصطبلان كبيران الاول (الطولة الكبيرة) وتبدأ من دور آل الطالب وتمتد الى شارع الفاروق الحالي، وبعد تقسيمها في الخمسينات اصبحت حياً كاملاً اما (الطولة الصغيرة) فتمتد من اخر بيت لآل الطالب الى (شك صويان) وفيهما عدة يواخير لنوم الخيل في الشتاء. وساحة لتدريب الخيل وعدد كبير من الازلام الذين يقومون بالعناية بالخيل واطعامهم واخذهم الى النهر لتحميمهم وتدريبهم والعناية بهم. واكثر من هذه الاصطبلات موجودة في ملحقات قصورهم في بومباي.يقول سليمان فيضي في مذكراته "" وصلنا الى كراجي في 20 شباط 1941. وبعدها الى بومبي. وعلى رصيف ميناء بومبي كان في استقبالنا عبدالله الفارس واولاده من اهل الزبير. وجارالله الطالب وبعض اقربائه واصحابه من اهل الموصل. وكلا العائلتين معروفتان بتجارة الخيل بين العراق والهند. اصر كل من الفريقين على ان ننزل في ضيافته. وبعد اخذ ورد توصلنا الى قسمة عادلة هي ان اكون انا من نصيب آل الطالب وان يكون زملائي الثلاثة من نصيب آل فارس. وفي خلال الايام العشرة التي قضيتها في بومبي لقيت من آل الطالب ومن عميدهم الحاج علي، منتهى الحفاوة والاكرام، فقد وضعوا تحت تصرفي عربة انيقة كنت اتجول بواسطتها في ضواحي المدينة الجميلة. وصحبتهم يوماً الى سباق الخيل فوجدت فيه متعة شيقة.وكان الحاج علي مسافراً من بومباي الى نيودلهي في القطار وقد حجز له مقصورة في القطار. فشاهد رجلاً اجنبياً ومعه امرأة اجنبية واقفاً في الزحمة. فهزته النخوة العربية وقدم مقصورته للرجل الاجنبي والمرأة التي برفقته. وكانت الرحلة تستغرق اياماً. وعند وصول القطار الى نيودلهي كان حشد من رجال الحكومة في استقبال الرجل الاجنبي وتبين انه الامير غليوم بن امبراطور المانيا. ولم يكن الحاج علي يعرف من هو وسأل الاجنبي مستغرباً عن كرم واخلاق الرجل الذي قدم له مقصورته من دون معرفة به. فاخبره مستقبلوه ان الامر عادي بالنسبة للآل الطالب وعميدهم الحاج علي.ويوزع الخدم الخبز في الاسواق وحارات الموصل على الجياع حتى تتمزق ملابسهم في فترة المجاعة عام1917، وتوفي الحاج علي في بومباي يوم استضافة نوري السعيد في قصره عندما رحله الانكليز الى الهند بسبب مناصرته للحركة القومية العربية ضد الاتراك. ونزل ضيفاً على الحاج علي عميد اسرة آل الطالب واصيب الحاج علي في تلك الليلة بألم كلوي حاد لم يمهله طويلاً.وللحاج علي ولدان ابراهيم وعبد العزيز وكان للاخير صحبة مع الرضواني ايضاً واولاد عبد العزيز: عبد الخالق (مزارع) وعبد المالك (دكتوراه في التحليلات المرضية) وعبد الباري (مدير معمل السكر سابقاً) وعبد الاله (مزارع).",0
140,140,السيد مهيدي,رائد الإيقاع في الموصل اشتغل في العديد من المسارح والملاهي وهو أستاذ سعيد خضر وعلو واحمد خضر وغيرهم.,0
141,141,ألفرنس جميل شوريز ,ولد بالموصل ودخل المعهد الكهنوتي ودرس فيه ثم درس فيه واصبح قساً ثم سافر الى لبنان ومنها الى ايطاليا وباريس له مؤلفات عدة منها (1)الاناشيد المريمية (2)خدمة القداس الكلداني 1928 (3)الكنيسة الكلدانية في التاريخ 1932 (4)مجموعة امثال الموصل 1937 (5)مختصر تاريخ الموسيقى العربية (6)ضحية عيد الميلاد (مسرحية)1933 . واشتغل قسيساً في كنيسة كركوك الكلدانية والف فيها كتباً ومسرحيات دينية عدة.,0
142,142,ألفرنس منكنا ,ولد في قرية شرانش قرب زاخو وهو هرمز بن القس منكنا تلقى تعاليمه السريانية على والده ثم انتمى الى معهد مار يوحنا الحبيب الكهنوتي بالموصل سنة 1891 ومكث فيه احدى عشرة سنة متعمقاً باللغة السريانية على يد المطران يعقوب اوجين منا، وتعلم اللغات الشرقية ورسم كاهناً سنة 1902 ولقب القس الفونس وعين استاذاً للغة السريانية في المعهد نفسه، رحل الى بريطانيا عام 1913 واتخذ من وود بروك صومعة لابحاثه حصل على الجنسية البريطانية عام 1920 نسب محاضراً للغة العربية في جامعة مانجستر حتى عام 1932 جال في مدن العالم لشراء المخطوطات السريانية والعربية واودعها في مكتبة برمنكهام في جناح خاص ينقسم الى قسمين الاول للمخطوطات المسيحة ويضم 870 مخطوطة والثاني للمخطوطات الاسلامية ويضم 1800 مخطوطة ووضع فهرساً لها طبع بمجلدين 1933-1939وترك منكثاً مؤلفات كثيرة منها (1)كتاب قواعد اللغة السريانية 1905 (2)تاريخ اربيل 1907.,0
143,143,الفريد سمعان ,ولد في الموصل وتلقى فيها علومه الأولية وتخرج في كلية الحقوق عام 1961وحصل على شهادة دبلوم في التخطيط سنة 1971 من معهد الأمم المتحدة في دمشق وعمل في مجالات كثيرة من بينها الصحافة وعمل موظفاً في وزارة التجارة ومارس المحاماة منذ عام 1977.  من مؤلفاته: 1-في طريق الحياة 1952 (ديوان شعر). 2-قسم 1953 (ديوان شعر). 3-رماد الوهج 1957 (ديوان شعر). 4-أُغنيات للمعركة 1967(ديوان شعر). (5) الربان 1972 (ديوان شعر)  اشترك في مؤتمرات متعددة في بغداد ودمشق وليبيا. وأصبح رئيساً لاتحاد الأدباء والكتاب في العراق منذ عام2004.  ,0
144,144,ألفونس جميل شوريز ,تلميذ مدرسة الآباء الدومنيكان بالموصل درس في باريس الدروس الدينية والفلسفية في معهد (سان سولبس) وصار قسيساً سنة 1927خدم في الموصل معلماً في مدرسة الدومنكان كما علم الفرنسية في المدارس الحكومية وكان اجتماعياً لبقاً محبوباً من تلاميذه العديدين إلى جانب قابلياته الشعرية والغنائية والموسيقى وكان مدير الموسيقى في مدرسة الآباء ومن مخلفاته تلحينه لقصيدة (سمعت شعراً للعندليب) للشاعر معروف الرصافي. ترك الموصل إلى الولايات المتحدة الأمريكية وعاش في نيويورك سنين طويلة وأصدر فيها جريدة (الإصلاح) وعمل مترجماً في الأمم المتحدة لإتقانه العربية والإنكليزية والفرنسية والسريانية والتركية. زار الموصل في صيف 1972 بعد غياب طويل متفقداً أصدقاءه وتلاميذه ثم عاد وزارها مرات أخرى وهو شيخ طاعن وقضى بقية عمره في نيويورك إلى أن أدركه الأجل في 1991.,0
145,145,الياس عبد الكريم ,ولد في الموصل1914، خريج دار المعلمين العالية/ الرياضيات. عين معاوناً للاعدادية الغربية، ونقل من المدرسة عامي 1962/1963.,0
146,146,اليزة سليمان جبري ,ولدت في الموصل وتلقت علومها الأولية فيها، تخرجت في المدرسة الأميركية بالموصل/قسم رياض الأطفال عام 1928وعينت معلمة في مدرسة روضة الأطفال، تولت ادارة الروضة عام 1931دخلت دار المعلمات وتخرجت الأولى عام 1932وعند إلغاء رياض الاطفال في العراق عام 1938 درست في ثانوية البنات ثم في مدرسة الأحداث وصدر تعيينها مديرة الروضة الرسمية عام 1947وبقيت حتى إحالتها على التقاعد عام 1963ثم انتقلت إلى بغداد. وعملت في الروضة الأولى سنة 1928وكانت تقع مقابل الآباء الدمنيكان في الساعة. وفيها صفان –شعبتان-بدوامين صباحي وظهري.الروضة الثانية 1937-1932:أسست اليزة جبري روضة ثانية وعينت مديرة لها مقابل مدرسة الوطن للبنين وعند انتهاء الإيجار انتقلت إلى أحد بيوت الجليليين في محلة شهر سوق في الفناء الخارجي (حوش اليرا)1933-1940ثم انتقلت إلى بناية جوار مدرسة الوطن وبقيت هناك حتى سنة 1938حيث ألغيت رياض الأطفال في العراق.  أعيد فتح رياض الأطفال عام 1947وأسست الروضة الرسمية في الدندان عام 1955وطلب إليها إدارتها وكانت قبلا في بناية في شارع حلب ثم بناية مقابل حديقة الشهداء ثم في دار في الشارع الموازي للسجن ثم في عقار للصابونجي في شارع الدواسة بها ملحقات وشاركت اليزة جبري في تأسيس روضة الشفاء سنة 1959وروضة الثورة في الجانب الأيسر 1961، وروضة الافلاذ في أوائل الستينات حيث ثم فصل أحد الملحقين ليكون روضة مستقلة عينت لإدارتها نديمة أوغسطين وحصلت اليزة جبري على شكر وتقدير كبيرين في مديرية معارض الموصل ومتصرفية الموصل ومن جهات رسمية وأهلية موصلية وعراقية.,0
147,147,أمجد المفتي,عمل في المحاماة ثم عين نائب حاكم ثم حاكماً في سنجار والموصل ثم عاد إلى المحاماة بعد ثورة سنة 1958وقتل في أعقاب حركة الشواف في أعمال الشغب في تلكيف وجرت محاكمات للقائمين بالشغب وقتله.,0
