,seq,name,name2,content,isconfirmed,class
731,731,جاسم حيدر,جلال الحسيني,كانت بدايت ه في مركز شباب الموصل حيث تعلم العزف على العود على يد الفنان طه الحداد و شارك في حفلات عده و اول لحن غنا ه ل ,False,STUDY
732,732,جاسم حيدر,سالم عبداللطيف,يد الفنان طه الحداد و شارك في حفلات عده و اول لحن غنا ه ل جلال الحسيني ريم الفلا عام 1988 و سجل اغنيه اشسويت ب حالي من كلمات ,False,MISC
733,733,جاسم حيدر,عباس الخفاجي,و شارك في حفلات عده و اول لحن غنا ه ل جلال الحسيني ريم الفلا عام 1988 و سجل اغنيه اشسويت ب حالي من كلمات سالم عبداللطيف و الحان ,False,WORK
734,734,جاسم حيدر,ابراهيم السيد,الحان عباس الخفاجي و سجل في التلفاز ايضا اغنيه يحبونالله و شارك في مهرجان بابل الدولي ب اغنيه يا قمر و سجل شريطا غنائيا من الحان علي سرحان و ,False,WORK
735,735,جاسم حيدر,ماجد سليم,و سجل في التلفاز ايضا اغنيه يحبونالله و شارك في مهرجان بابل الدولي ب اغنيه يا قمر و سجل شريطا غنائيا من الحان علي سرحان و ابراهيم السيد و ,False,WORK
736,736,جاسم محمد جرجيس  ,جاسم محمد جرجيس  ,nan,True,SAME PERSON
737,737,جرجيس فتحالله ,يوسف الحاج الياس,راكلان سكواير ترجمه ). ولد في الموصل و تلقى دراست ه الاوليه في ها  دخل كليه الحقوق و عمل محاميا  دخل الحزب الوطني الديمقراطي و عمل مع ,False,WORK
738,738,جرجيس فتحالله ,جرجيس فتحالله,و بعد قيام ثوره 14/ تموز / 1958 وقف ,True,SAME PERSON
739,739,جرجيس فتحالله ,جرجيس فتحالله,و بعد فشل حركه الشواف 1959 و نشوب الاحداث الداميه في الموصل و اتهم ,True,SAME PERSON
740,740,جرجيس فتحالله ,جرجيس فتحالله,و عند بدء موجه الاغتيالات الواسعه في الموصل منذ عام 1960. هرب ,True,SAME PERSON
741,741,جرجيس فتحالله ,ملا مصطفى البرزاني,موجه الاغتيالات الواسعه في الموصل منذ عام 1960. هرب جرجيس فتحالله الى الشمال و اشيع ان ه انتمى الى الحزب الوطني الكردستاني و ان ه مقرب الى الزعيم الكردي ,False,MISC
742,742,جرجيس فتحالله ,جرجيس فتحالله,و كان ,True,SAME PERSON
743,743,جزيل عبدالجبار الجومرد,صلاحالدين الايوبي,الطلبه المتميزين و نال البكالوريوس عام 1974 و سافر الى انكلترا و درس في جامعه سانت اندروز و بقي هناك عشر سنوات نال في ها الماجستير و الدكتوراه عن ,False,STUDY
744,744,جلال الحسيني,صالح الحاج مصطفى,ثم انضم بعد ذلك الى فرقه الخلد الموسيقيه التي تشكلت عام 1963 و اقامت حفلات عده و متنوعه على مسارح المدينه  و ب حكم علاقت ه ب المرحوم ,False,WORK
745,745,جلال الحسيني,جلال الحسيني,مصطفى  مصلح اجهزه المذياع و قد ورث عن والد ه اسطوانات و تسجيلات كثيره سمع شتى الوان الموسيقى و الغناء قديمه و حديثه و لجنسيات مختلفه ف حفظ ,True,SAME PERSON
746,746,جلال الحسيني,جلال الحسيني,و المران تمكن من الغناء امام الجمهور  ف غنى القصيده و الاغنيه العاطفيه و الاغنيه الشعبيه و الاغنيه الوطنيه الفلكلوريه و الاغنيه الدينيه و في عام 1972 سجل ,True,SAME PERSON
747,747,جلال الحسيني,سالم الخباز,و الاغنيه الشعبيه و الاغنيه الوطنيه الفلكلوريه و الاغنيه الدينيه و في عام 1972 سجل جلال الحسيني اغنيه دينيه ل لاذاعه و في عام 1976 سجل اغاني من قصائد ,False,WORK
748,748,جلال الحسيني,حكمت صالح,و الاغنيه الوطنيه الفلكلوريه و الاغنيه الدينيه و في عام 1972 سجل جلال الحسيني اغنيه دينيه ل لاذاعه و في عام 1976 سجل اغاني من قصائد سالم الخباز و ,False,WORK
749,749,جلال ايوب صبري الخياط ,ايوب صبري,و كان والد ه ,True,FAMILY
750,750,جلال ايوب صبري الخياط ,احمد الصافي,1970. 2- التكسب في الشعر 1970. 3- الشعر و الزمن 1975. 4- المثال و التحول في شعر المتنبي و حيات ه 1977. 5- الاصول الدراميه في الشعر العربي 1982.6- ,True,MISC
751,751,جلال ايوب صبري الخياط ,احمد الصافي,حيات ه 1977. 5- الاصول الدراميه في الشعر العربي 1982.6- احمد الصافي النجفي دراسه و مختارات 1987. 7- المنفى و الملكوت 1989. 8- مدارات 2000.9- المجموعه الكامله ل اشعار ,True,MISC
752,752,جلال بشير سرسم ,بشير حنا سرسم,ولد ب الموصل و والد ه ,True,FAMILY
753,753,جلال جميل محمد حسن  ,عبدالله فاضل,مثّل اول دور ل ه على مستوى جماهيري فوق خشبه المسرح  و هو طالب في الصف الرابع الاعدادي ب مسرحيه تاجر في المدينه تاليف ,True,MISC
754,754,جلال جميل محمد حسن  ,حكمت الكلو,اول دور ل ه على مستوى جماهيري فوق خشبه المسرح  و هو طالب في الصف الرابع الاعدادي ب مسرحيه تاجر في المدينه تاليف عبدالله فاضل و من اخراج ,False,MISC
755,755,جمال جميل ,جمال جميل ,و عضويه الرائد ,True,SAME PERSON
756,756,جمال جميل ,محمد حسن المحاويلي,و عضويه الرائد جمال جميل ضابط مدفعي و الرائد ,True,COMPANIONSHIP
757,757,جمال جميل ,الاول عبدالجبار محمد الناظمي,و عضويه الرائد جمال جميل ضابط مدفعي و الرائد محمد حسن المحاويلي ضابط مشاه و الملازم ,True,COMPANIONSHIP
758,758,جمال جميل ,سيفالدين سعيد ال يحيى,و عضويه الرائد جمال جميل ضابط مدفعي و الرائد محمد حسن المحاويلي ضابط مشاه و الملازم الاول عبدالجبار محمد الناظمي ضابط مخابره و الملازم ,True,COMPANIONSHIP
759,759,جمال جميل ,جمال جميل ,و بقي ,True,SAME PERSON
760,760,جمال جميل ,اسماعيل بك,و بقي جمال جميل و تزوج هناك من ابنه امر المدفعيه اليمنيه ,True,FAMILY
761,761,جمال جميل ,جمال جميل ,و بقي جمال جميل و تزوج هناك من ابنه امر المدفعيه اليمنيه اسماعيل بك ). و عمل ,True,SAME PERSON
762,762,جمال جميل ,جمال جميل ,). و عمل جمال جميل معلما في الكليه الحربيه في اليمن و تخرج على يدي ه طلبه الدفعتين الثانيه و الثالثه من الكليه في عامي 1944 1945. و دعا ,True,SAME PERSON
763,763,جمال جميل ,جمال جميل ,و عند ما يئس في ذلك اسهم في ثوره 1948 و اغتيل الامام يحيى لكن ه الامام سيف الاسلام احمد تمكن من اجهاض الثوره و قبض على ,True,SAME PERSON
764,764,جميل الفخري ,جميل الفخري ,nan,True,SAME PERSON
765,765,جميل الفخري ,عبدالعزيز القصاب,اللواء ثم انتخب نائبا عن الموصل عضوا في مجلس اداره اللواء ثم انتخب نائبا عن الموصل في المجلس النيابي في دورت ه الثانيه 1928 م-1932 موكان المجلس ب رئاسه ,False,WORK
766,766,جميل الفخري ,امجد افندي الزهاوي,"في لجنه تقدير الشرقيه , عند سقوط بغداد ب ايدي الانكليز سنه1917 م خرج العديد من الذوات من اهالي بغداد خوفا من بطش الانكليز و من ضمن هم المرحوم ",False,MISC
767,767,جميل الفخري ,جميل افندي,سنه1917 م خرج العديد من الذوات من اهالي بغداد خوفا من بطش الانكليز و من ضمن هم المرحوم امجد افندي الزهاوي ف قدم الى الموصل ف استضاف ه المرحوم ,False,FAMILY
768,768,جميل الفخري ,حازم فؤاد المفتى,8/9/1937 و الزبداني ل لشباب القومي لقد تتلمذ على يد المترجم ل ه العديد من الشخصيات التي اصبح ل ها مكان في الحياه السياسيه و نذكر من هم المرحوم ,False,STUDY
769,769,جميل الفخري ,عبدالعزيز مصطفى,على يد المترجم ل ه العديد من الشخصيات التي اصبح ل ها مكان في الحياه السياسيه و نذكر من هم المرحوم حازم فؤاد المفتى ف عند مراجعه السيده لمى ,False,STUDY
770,770,جميل الفخري ,حازم المفتى,ف عند مراجعه السيده لمى عبدالعزيز مصطفى ل زوجه الموما الي ه في بغداد ل غرض الاستفاده من اوراق ه و المعلومات المتوفره ل اكمال بحث ها الاكاديمي عن ,False,MENTION
771,771,جميل الفخري ,عبدالمالك الفخري,بحث ها الاكاديمي عن حازم المفتى و نشاط ه الثقافي و السياسي حتى عام1959 قالت ل ها زوجت ه ان كنت تسالين عن السياسه لدى المرحوم ف اسالي عن ,False,MENTION
772,772,جميل الفخري ,عدنان سامي نذير,و عند مراجعتي من قبل الموما الي ها و زوج ها الدكتور ,False,WORK
773,773,جميل الفخري ,عبدالفتاح يحيى,تناول الدكتور ,False,MISC
774,774,جميل المدفعي ,جميل المدفعي ,nan,True,SAME PERSON
775,775,جميل المدفعي ,محمد عباس,ولد جميل محمد عباس في محله باب ل كش في مدينه الموصل عام1890 و كان والد ه ,True,FAMILY
776,776,جميل المدفعي ,جعفر العسكري,في ها ثلاث سنوات ثم رشح جميل ل لذهاب الى اسطنبول ل اجل الدراسه في ها مع جلال بابان و كان قد سبق هما الي ها نوري السعيد و ,True,STUDY
777,777,جميل المدفعي ,ياسين الهاشمي,سنوات ثم رشح جميل ل لذهاب الى اسطنبول ل اجل الدراسه في ها مع جلال بابان و كان قد سبق هما الي ها نوري السعيد و جعفر العسكري و ,True,STUDY
778,778,جميل المدفعي ,علي جودت الايوبي,جميل ل لذهاب الى اسطنبول ل اجل الدراسه في ها مع جلال بابان و كان قد سبق هما الي ها نوري السعيد و جعفر العسكري و ياسين الهاشمي و ,True,STUDY
779,779,جميل المدفعي ,جميل المدفعي ,تخرج ,True,SAME PERSON
780,780,جميل المدفعي ,جميل المدفعي ,و شارك ,True,SAME PERSON
781,781,جميل المدفعي ,جميل المدفعي ,العراق و وقع اسيرا و قيد الى الهند و بقي اسيرا حتى انضمام ه الى جيش الثوره العربيه التي قام ب ها الشريف حسين ضد السيطره العثمانيه و انضم ,True,SAME PERSON
782,782,جميل المدفعي ,عزيز علي المصري,و بقي اسيرا حتى انضمام ه الى جيش الثوره العربيه التي قام ب ها الشريف حسين ضد السيطره العثمانيه و انضم جميل المدفعي الى جمعيه العهد التي اسس ها ,True,WORK
783,783,جميل المدفعي ,ياسين الهاشمي,العربيه التي قام ب ها الشريف حسين ضد السيطره العثمانيه و انضم جميل المدفعي الى جمعيه العهد التي اسس ها عزيز علي المصري عام1913 و كان من اعضائ ها ,True,COMPANIONSHIP
784,784,جميل المدفعي ,علي جودت الايوبي,العثمانيه و انضم جميل المدفعي الى جمعيه العهد التي اسس ها عزيز علي المصري عام1913 و كان من اعضائ ها ياسين الهاشمي و نوري السعيد و مولود مخلص و ,True,COMPANIONSHIP
785,785,جميل المدفعي ,جميل المدفعي ,و كان من اعضائ ها ياسين الهاشمي و نوري السعيد و مولود مخلص و علي جودت الايوبي و هدف ها السعي وراء الاستقلال الداخلي ل لبلاد العربيه و جلب ,True,SAME PERSON
786,786,جميل المدفعي ,جميل المدفعي ,و تاسست جمعيه العلم في الموصل عام1914 فرعا ل جمعيه العهد حيث دخل ها غير الضباط ايضا و كانت جمعيه العهد العراقيه 1918 ب رئاسه ,True,SAME PERSON
787,787,جميل المدفعي ,جميل المدفعي ,و كان ,True,SAME PERSON
788,788,جميل المدفعي ,علي جودت الايوبي,من الضباط حيث كان اسيرا في الهند و وصلت الى الحجاز في كانون اول عام1916 و تتالف من خمسه و ثلاثين ضابطا و من هم ايضا مولود مخلص و ,True,COMPANIONSHIP
789,789,جميل المدفعي ,جميل المدفعي ,و بدات حركه الاستقلال لقدوم ممثلي جمعيه العهد و من هم ,True,SAME PERSON
790,790,جميل المدفعي ,محمد رؤوف الغلامي,و وصلوا الموصل في حزيران عام1919 و اتصلوا ب معتمد الجمعيه في الموصل ,True,WORK
791,791,جميل المدفعي ,جميل المدفعي ,محمد رؤوف الغلامي و اعضاء الهيئه الاداريه و ناقشوا اوضاع ولايه الموصل و كسب العشائر ضد البريطانيين و عند ما علم ل جمن ب وجود الوفد ب الموصل استدعى ,True,SAME PERSON
792,792,جميل المدفعي ,جميل المدفعي ,جميل المدفعي و اتهمه ب تشويش الافكار و سافر المدفعي الى بغداد و قررت جمعيه العهد نقل مركز ها من دمشق الى دير الزور قريبه من الموصل و كان ,True,SAME PERSON
793,793,جميل المدفعي ,جميل المدفعي ,المدفعي على راس قوه عند نهر الخابور تسعى ل لتقدم الى الموصل و تتجه العشائر نحو الشمال و عشائر الفرات الاوسط نحو الشرقاط و تحركت القوه العراقيه ب قياده ,True,SAME PERSON
794,794,جميل المدفعي ,جميل المدفعي ,و كانت المعلومات تدل على قرب وقوع هجوم على الموصل ب قياده ,True,SAME PERSON
795,795,جميل المدفعي ,عسكر جميل المدفعي,nan,True,MISC
796,796,جميل المدفعي ,النقيب جميل محمد الخليل,و قام ضابطان موصليان هما ,True,MISC
797,797,جميل المدفعي ,محمد علي,و قام ضابطان موصليان هما النقيب جميل محمد الخليل و الملازم ,True,MISC
798,798,جميل المدفعي ,جميل المدفعي ,ضابطان موصليان هما النقيب جميل محمد الخليل و الملازم محمد علي النعلبند ب محاصره دار الحاكم السياسي البريطاني في تلعفر مع بعض العشائر و جرت مناوشات و تاخرت حمله ,True,SAME PERSON
799,799,جميل المدفعي ,جميل المدفعي ,و اجتمع رؤساء تلعفر و رؤساء عشائر شمر و الجبور و الجحيش و الكركويه و الحسينات و البو ميتوت ب ,True,SAME PERSON
800,800,جميل المدفعي ,السابع م,المدفعي و ضباط ه في 5/6/1920 و بحثوا مع ه امر الحركه نحو الموصل و بقيت القوات ثلاثه ايام في تلعفر و لم تتجه الى الموصل الا في اليوم ,True,WRONG
801,801,جميل المدفعي ,جميل المدفعي ,البريطانيه قرب قريه الكونسيه بين الموصل و تلعفر و كانت القوات البريطانيه متفوقه م ما اضطر الثوار الى الانسحاب و انهزمت العشائر ل لدفاع عن اهل ها و انسحب ,True,SAME PERSON
802,802,جميل المدفعي ,جميل المدفعي ,العشائر ل لدفاع عن اهل ها و انسحب جميل المدفعي الى قريه المحلبيه و القرى الواقعه غرب ها ب اتجاه دير الزور عن طريق يشبه الجزيره الفراتيه و التجا ,True,SAME PERSON
803,803,جميل المدفعي ,جعفر العسكري,الى دير الزور و اتجه الى دمشق و عمل في حكومه فيصل و بقي في سوريا عند ما غادر ها بعض زملائ ه الى العراق مثل نوري السعيد و ,False,WORK
804,804,جميل المدفعي ,جميل المدفعي ,24/7/1920 و كان ذهاب المدفعي الى عمان يطلب من امير ها عبدالله ل لافاده من خبرت ه و عند ما اعلنت بريطانيا العفو عن الثوار ضد ها عام1921 بقي ,True,SAME PERSON
805,805,جميل المدفعي ,جميل المدفعي ,عام1921 بقي جميل المدفعي في الاردن و عين مديرا ل لامن العامثم متصرفا ل لواء السلط و بقي في ها حتى كانون اول / 1923 و اعاد عبدالمحسن السعدون ,True,SAME PERSON
806,806,جميل المدفعي ,جميل المدفعي ,العراق ل ما عرف ه عن ه من تفان و اخلاص و المعروف ان الملك فيصل و الملك عبدالله توسطا لدى البريطانيين من اجل عودت ه و هكذا ضحى ,True,SAME PERSON
807,807,جميل المدفعي ,جميل المدفعي ,جميل المدفعي ب مثل ه و اسلوب تعامل ه مع القوى المهيمنه على العراق ل لوصول الى هدف استقلال ه ب اتباع وسيله اللاعنف على حساب المثل و عين ,True,SAME PERSON
808,808,جميل المدفعي ,جميل المدفعي ,تولى ,True,SAME PERSON
809,809,جميل المدفعي ,جميل المدفعي ,و عند ما ثار العراقيون ضد هذه المعاهده المجحفه استقال ,True,SAME PERSON
810,810,جميل المدفعي ,جميل المدفعي ,استقال من حزب العهد حزب نوري السعيد  ثم اُعيد انتخاب ه رئيسا ل لمجلس و بقي في منصب ه حتى تشكيل حكومت ه الاول في 9/11/1933. لقد كان ,True,SAME PERSON
811,811,جميل المدفعي ,علي جودت الايوبي,و عند ما شكل ,False,MISC
812,812,جميل المدفعي ,جميل المدفعي ,شوكت ل ضمان دوام ها و كان ل علي جوده الايوبي الدور الاكبر في اسناد الوزاره الي ه و كان رئيسا ل لديوان الملكي انذاك طلب الملك غازي من ,True,SAME PERSON
813,813,جميل المدفعي ,ياسين الهاشمي,تمسك الملك غازي ب المدفعي و اسناد الحكم الي ه ثانيه نقمه المعارضه المتمثله في نوري السعيد و اصحاب ه و السفاره البريطانيه و الاخائيين و على راس هم ,False,STUDY
814,814,جميل المدفعي ,ناجي السويدي,ه و السفاره البريطانيه و الاخائيين و على راس هم ياسين الهاشمي و ظهرت تركيبه حكومه المدفعي الثانيه من شخصيات لم يكن ل هم وزن سياسي ماعدا وزير الماليه ,False,STUDY
815,815,جميل المدفعي ,جميل المدفعي ,علنا ب الاعمال التي كانت ترتكب في بعض الالويه و استشرى الفساد ف اقترح مستشار وزاره الداخليه كينهان كوزمواليس فصل عدد من الاداريين ل تجنب الكارثه و لكن طيبه ,True,SAME PERSON
816,816,جميل المدفعي ,ياسين الهاشمي,المدفعي و اتباع ه سياسه سلميه حال دون ذلك ف تمردت العشائر في الفرات الاوسط و حاول رؤساؤ هم القيام ب حركه ثوريه مسلحه ل لايتان ب زعماء المعارضه ,False,WORK
817,817,جميل المدفعي ,طلب غازي,الحقوق و غير هم من التلاميذ في اتون السياسه ف توالت الانتفاضات م ما ادى الى تهديد الامن و الاستقرار فارسل المدفعي كتاب الاستقاله الى غازي في 25/8/1934. و ,False,STUDY
818,818,جميل المدفعي ,علي جودت الايوبي,هم من التلاميذ في اتون السياسه ف توالت الانتفاضات م ما ادى الى تهديد الامن و الاستقرار فارسل المدفعي كتاب الاستقاله الى غازي في 25/8/1934. و طلب غازي من ,False,STUDY
819,819,جميل المدفعي ,جميل المدفعي ,ما ادى الى تهديد الامن و الاستقرار فارسل المدفعي كتاب الاستقاله الى غازي في 25/8/1934. و طلب غازي من علي جودت الايوبي تشكيل الوزاره في 27/ اب و عين ,True,SAME PERSON
820,820,جميل المدفعي ,جميل المدفعي ,اب و عين جميل المدفعي وزيرا ل لدفاع و كان عهد الايوبي بدايه الاضطراب و الفوضى اللذين سادتا العراق منذ عام1934 - 1947 الاحتلال البريطاني ل لعراق و شكل ,True,SAME PERSON
821,821,جميل المدفعي ,ياسين الهاشمي,في الامور السياسيه ب اسلوب العنف المسلح  و اعلن عبدالواحد سكر- شيخ عشيره ال فتله- في المشخاب في 9/3/1935 ان ه ل ايرضى الا ب حكومه يتراس ها ,False,MISC
822,822,جميل المدفعي ,محمد حسين,عشائر الاكرع ب قياده الشيخ شعلان العطيه قلعه الدغاره  و تمكنت قبائل العزه و شيخ ها حبيب الخيزران من احتلال منصوريه الجبل في لواء ديالى و اتخذ الشيخ ,False,STUDY
823,823,جميل المدفعي ,طه الهاشمي,كاشف الغطاء مواقف حازمه ضد السلطه و ارادت وزاره الداخليه الاسراع في ضرب العشائر و استعانت ب العشائر المواليه ل لحكومه ل لوقوف ضد الثائرين و كان رئيس الجيش ,False,FAMILY
824,824,جميل المدفعي ,ياسين الهاشمي,و انتقل المدفعي الى صفوف المعارضه ل حكومه ,False,WORK
825,825,جميل المدفعي ,حكمت سليمان المدفعي,و زار ,False,MISC
826,826,جميل المدفعي ,ياسين الهاشمي,القائم في البلاد الا ان المدفعي لم ينجرف مع المعارضه و فضل الاستمرار على سياسه العزله التي اختار ها ل نفس ه في الاونه الاخيره و عرض علي ه ,False,STUDY
827,827,جميل المدفعي ,جميل المدفعي ,قبل ان يشكل ,True,SAME PERSON
828,828,جميل المدفعي ,العسكري الاول,قبل ان يشكل جميل المدفعي حكومت ه الرابعه في 17/8/1937 كان متقاعدا ثم عين عضوا في مجلس الاعيان و بعد الانقلاب ,False,WORK
829,829,جميل المدفعي ,العسكري الثاني,ان يشكل جميل المدفعي حكومت ه الرابعه في 17/8/1937 كان متقاعدا ثم عين عضوا في مجلس الاعيان و بعد الانقلاب العسكري الاول 1936 ل بكر صدق ي وقع الانقلاب ,False,STUDY
830,830,جميل المدفعي ,محمد امين العمري,و بعد الانقلاب العسكري الاول 1936 ل بكر صدق ي وقع الانقلاب العسكري الثاني في 11/8/1937 الذي اودى ب حياه بكر صدق ي و قام ب ه امير اللواء ,False,MISC
831,831,جميل المدفعي ,جميل المدفعي ,ي وقع الانقلاب العسكري الثاني في 11/8/1937 الذي اودى ب حياه بكر صدق ي و قام ب ه امير اللواء محمد امين العمري امر حاميه الموصل  و كان ,True,SAME PERSON
832,832,جميل المدفعي ,حكمت سليمان,لبنان مع محمد مهدي كبه و تلقى برقيه من وزاره الخارجيه تستدعي ه ل لحضور ب السرعه الممكنه ف قدم المدفعي الى بغداد وصل ها في 16/8/1937 و استقال ,False,WORK
833,833,جميل المدفعي ,محمد امين العمري,سليمان بعد يوم واحد  و وجد المدفعي الجو ملائما ل تشكيل حكومه ب رئاست ه و خاصه بعد ان حظي ب تاييد حاميه الموصل و على راس ها ,False,WORK
834,834,جميل المدفعي ,ياسين الهاشمي,و كانت السياسه العراقيه موزعه بين ثلاث فئات :( 1 الكتله التقليديه و زعيم ها ,False,MISC
835,835,جميل المدفعي ,جميل المدفعي ,و التقدميون و الشيوعيون و قد اختفت هذه الكتله في عهد بكر صدق ي و سافر الكثير من عناصر ها الفعاله خارج القطر 3 المعتدلون : و من هم ,True,SAME PERSON
836,836,جميل المدفعي ,جميل المدفعي ,تدخل هم في السياسه ف حظى على التاييد من بعض هم و اصبحت الاوضاع ممهده ل تشكيل حكومت ه الرابعه 17/8/1937-25/12/1938 و هي من اهم الحكومات التي شكل ها ,True,SAME PERSON
837,837,جميل المدفعي ,جميل المدفعي ,و ترك انقلاب بكر صدق ي العسكري في نفوس اقطاب محترفي السياسه التقليديين في نقمه كبيره تجاه الملك غازي و رجال الانقلاب ب من في هم ,True,SAME PERSON
838,838,جميل المدفعي ,صلاحالدين الصباغ,في نقمه كبيره تجاه الملك غازي و رجال الانقلاب ب من في هم جميل المدفعي الذي يعد من المقربين ل لمك غازي و هو مقبول من جانب الكتله القوميه ,False,STUDY
839,839,جميل المدفعي ,محمود سلمان,من في هم جميل المدفعي الذي يعد من المقربين ل لمك غازي و هو مقبول من جانب الكتله القوميه صلاحالدين الصباغ  محمد فهمي سعيد  كامل شبيب و ,False,STUDY
840,840,جميل المدفعي ,حكمت سليمان,المقربين ل لمك غازي و هو مقبول من جانب الكتله القوميه صلاحالدين الصباغ  محمد فهمي سعيد  كامل شبيب و محمود سلمان و هو مقبول من المؤيدين ل ,False,MISC
841,841,جميل المدفعي ,بكر صدقي,3 علاقه العراق ب دول المحور : و انهاء صفقه الاسلحه التي عقد ها ,False,WORK
842,842,جميل المدفعي ,جميل المدفعي ,و قامت الكتله العسكريه القوميه في 24/12/1938 انقلابا في معسكر الرشيد و طالبوا ,True,SAME PERSON
843,843,جميل المدفعي ,حيدر سليمان,من استقالت ه وقعت حادثه وفاه الملك غازي في 4/5/1939 و في الاجتماع ل تحديد الوصي على عرش العراق مال نوري السعيد و علي جوده و رشيد عالي و ,False,STUDY
844,844,جميل المدفعي ,فيصل عبد,الملك غازي في 4/5/1939 و في الاجتماع ل تحديد الوصي على عرش العراق مال نوري السعيد و علي جوده و رشيد عالي و حيدر سليمان الى تنصيب خال الملك ,False,STUDY
845,845,جميل المدفعي ,جميل المدفعي ,ل تحديد الوصي على عرش العراق مال نوري السعيد و علي جوده و رشيد عالي و حيدر سليمان الى تنصيب خال الملك فيصل عبد الال ه  و تحفظ ,True,SAME PERSON
846,846,جميل المدفعي ,جميل المدفعي ,و عند حدوث حركات مايس عام1941 استقل ,True,SAME PERSON
847,847,جميل المدفعي ,جميل المدفعي ,و التقى ب هم نوري السعيد الذي هرب ب طائره بريطانيه الى مصر و كان ,True,SAME PERSON
848,848,جميل المدفعي ,مصطفى العمري,الا ان ه لم يتمكن من ذلك م ما ادى الى سقوط الوزاره سريعا  و قد اختار علي جوده الايوبي ل لخارجيه و ايراهيم كمال ل لماليه و ,False,WORK
849,849,جميل المدفعي ,ساطع الحصري,و قررت حكومه المدفعي اسقاط الجنسيه العراقيه عن ,False,MISC
850,850,جميل المدفعي ,درويش المقدادي,و قررت حكومه المدفعي اسقاط الجنسيه العراقيه عن ساطع الحصري و احمد قدر ي و ,False,MISC
851,851,جميل المدفعي ,جميل المدفعي ,ب محاوله اغتيال المدفعي في 25/9/1941 و تتابعت وزارات نوري السعيد الثلاث و عند ما اجرى السعيد محاكمات الضباط عارض المدفعي تنفيذ عقوبه الاعدام ب العقداء الاربعه و ظل ,True,SAME PERSON
852,852,جميل المدفعي ,مزاحم الباججي,تتابعت وزارات نوري السعيد الثلاث و عند ما اجرى السعيد محاكمات الضباط عارض المدفعي تنفيذ عقوبه الاعدام ب العقداء الاربعه و ظل جميل المدفعي بعيدا عن السياسه حتى استطاع ,False,STUDY
853,853,جميل المدفعي ,صالح جبر,ان يتوسط ل تعين ه عضوا في مجلس الاعيان و عين المدفعي رئيسا ل لمجلس بين عامي1944 - 1945 و بعد الغضب الجماهيري ضد معاهده بورتسموث عام1947 سقطت حكزمه ,False,WORK
854,854,جميل المدفعي ,جميل المدفعي ,المدفعي رئيسا ل لمجلس بين عامي1944 - 1945 و بعد الغضب الجماهيري ضد معاهده بورتسموث عام1947 سقطت حكزمه صالح جبر و تشكلت حكومه محمد الصدر في 29/1/1948 و عين ,True,SAME PERSON
855,855,جميل المدفعي ,مصطفى العمري,و حدوث انتفاضه تشرين الثاني عام1952 ف استقالت حكومه ,False,MISC
856,856,جميل المدفعي ,جميل المدفعي ,و حدوث انتفاضه تشرين الثاني عام1952 ف استقالت حكومه مصطفى العمري و اراد الوصي اسناد رئاسه الوزراء الى ,True,SAME PERSON
857,857,جميل المدفعي ,نورالدين محمود,و اراد الوصي اسناد رئاسه الوزراء الى جميل المدفعي و اجتمع ب رؤساء الاحزاب الذين اخبرو ه ب ان القوه اضحت في يد الجماهير ف اسند الوصي الوزاره الى ,False,COMPANIONSHIP
858,858,جميل المدفعي ,نورالدين محمود,بعد استقاله ,False,WORK
859,859,جميل المدفعي ,جميل المدفعي ,بعد استقاله نورالدين محمود شكل ,True,SAME PERSON
860,860,جميل المدفعي ,توفيق السويدي,شكل جميل المدفعي وزارت ه السادسه 29/1-6/5/1953 ل تصفيه الاجواء غير الطبيعيه و اسند الى علي جوده الايوبي نائب رئيس الوزراء و الدفاع الى نوري السعيد و الخارجيه الى ,False,STUDY
861,861,جميل المدفعي ,علي ممتاز,السادسه 29/1-6/5/1953 ل تصفيه الاجواء غير الطبيعيه و اسند الى علي جوده الايوبي نائب رئيس الوزراء و الدفاع الى نوري السعيد و الخارجيه الى توفيق السويدي و الماليه الى ,False,MISC
862,862,جميل المدفعي ,ماجد مصطفى,جوده الايوبي نائب رئيس الوزراء و الدفاع الى نوري السعيد و الخارجيه الى توفيق السويدي و الماليه الى علي ممتاز و العدليه الى احمد مختار بابان و الشؤون الى ,False,STUDY
863,863,جميل المدفعي ,حسامالدين جمعه,و الدفاع الى نوري السعيد و الخارجيه الى توفيق السويدي و الماليه الى علي ممتاز و العدليه الى احمد مختار بابان و الشؤون الى ماجد مصطفى و الداخليه الى ,False,STUDY
864,864,جميل المدفعي ,محمد سلمان,العدليه الى احمد مختار بابان و الشؤون الى ماجد مصطفى و الداخليه الى حسامالدين جمعه و المعارف الى خليل كن ه و الزراعه الى عبدالرحمن جوده و الصحه الى ,False,MISC
865,865,جميل المدفعي ,فيصل الثاني,1953 و هددت بغداد ب الغرق وحدثت انتفاضه ف ل احيه في قرى اربيل في 22/4/1953 طالب في ها الفلاحون ب توزيع الاراضي و سقطت الوزاره و طلب الملك ,False,MISC
866,866,جميل المدفعي ,محمد علي محمود,الفلاحون ب توزيع الاراضي و سقطت الوزاره و طلب الملك فيصل الثاني من المدفعي تشكيل الحكومه و كانت السابعه و الاخيره 7/5-17/9/1953 و ضمت اعضاء الوزاره السابقه ما خلا ,False,WORK
