,0,1,2,3,4,5,6
521,اكرم عبدالوهاب  ,محمد ياسين,False,WSTUDY,اجازه,محمد ياسين السنجاري,1399. 4- اجازه العلوم العقليه و النقليه من الملا صالح البامرني 1403. 5- اجازه العلوم العقليه و النقليه عن محمد ياسين 1405. 6- اجازه الاسعاد ب مهمات الاسناد من 
522,اكرم عبدالوهاب  ,محمد ياسين,False,WSTUDY,اجازه,محمد ياسين السنجاري,و النقليه عن محمد ياسين 1405. 6- اجازه الاسعاد ب مهمات الاسناد من محمد ياسين 1405. 7- اجازه العلوم و كافه كتب الاسلام و اثبات و مشيخات المسندين من 
523,اكرم عبدالوهاب  ,مصطفى الاربيلي,False,WSTUDY,اجازه,,8- اجازه من الشيخ المسلك القطب 
524,اكرم فاضل الصيدلي ,اكرم فاضل الصيدلي ,True,,,,
525,اكرم فاضل الصيدلي ,فاضل الصيدلي,False,WSTUDY,موظف,فاضل الصيدلي,ف كيف قرب السيد الكريم موظف الحكومه العظيم ولد اكرم فاضل الصيدلي في الموصل عام 1918 من اسره تعنى ب الادب و المساله الوطنيه ف قد كان والد ه 
526,اكرم فاضل الصيدلي ,رؤوف الغلامي,False,FAMILY,والد,,ب الادب و المساله الوطنيه ف قد كان والد ه فاضل الصيدلي شاعرا ل ه ديوان ب عنوان هديه الاحرار و كان عضوا في نادي الحمراء الذي اسس ه 
527,اكرم فاضل الصيدلي ,عبدالحق فاضل,False,FAMILY,اخو,عبدالحق فاضل,منبثق عن جمعيه العهد ذات الاتجاه القومي و المطالبه ب عروبه الموصل و انضمام ها الى العراق و تخلص ها من السيطرتين العثمانيه و الانكليزيه ، و اخو ه 
528,اكرم فاضل الصيدلي ,اكرم فاضل الصيدلي ,True,,,,تخرج 
529,اكرم فاضل الصيدلي ,اكرم فاضل الصيدلي ,True,,,,اتقن اللغه الفرنسيه اتقانا مكن ه من ترجمه شعر فكتور هيجو و الفرد دو موسي ه و غير هما من فحول الشعراء الفرنسيين الى العربيه ، و قد حاول 
530,اكرم فاضل الصيدلي ,ذو النون ايوب,False,MENTION,يقول,,من الوصول الى بغداد ، و صار يبحث ع من يحسن التكلم ب هذه اللغه ، و يتوصل الي هم عن طريق معارف ه او مصادفه في الطريق يقول 
531,اكرم فاضل الصيدلي ,النون ايوب,False,MISC,,,و الاعداد و الترجمه : 1- الكوميديا البشريه شعر 1948. 2- في المقاهي و الملاهي شعر 1975. 3- الاباء و البنون ، نور جنين ترجمه ب المشاركه مع ذي 
532,اكرم فاضل الصيدلي ,ناظم حكمت,False,MISC,,,الملاهي شعر 1975. 3- الاباء و البنون ، نور جنين ترجمه ب المشاركه مع ذي النون ايوب 1948. 4- يا ل حياه المنفى من مهنه شاقه ، مسرحيه ل 
533,اكرم فاضل الصيدلي ,اكرم فاضل الصيدلي ,True,,,,مارس 
534,اكرم فاضل الصيدلي ,اكرم فاضل الصيدلي ,True,,,,مارس اكرم فاضل كتابه الشعر منذ اول ممارست ه ل لكتابه و جمع شعر ه في ديوانين الكوميديا البشريه 1948 و في المقاهي و الملاهي 1975 و قد التزم 
535,البير ابونا الكلداني ,يوسف حبي,False,WSTUDY,مجله,,استاذ اللغه الاراميه مده عشرين سنه تقريبا ثم انتقل الى بغداد ل مواصله خدمات ه الدينيه و التعليميه و قد تولى رئاسه تحرير مجله بين النهرين بعد وفاه القس 
536,البير ابونا الكلداني ,البير ابونا,False,WSTUDY,مجله,,سنه تقريبا ثم انتقل الى بغداد ل مواصله خدمات ه الدينيه و التعليميه و قد تولى رئاسه تحرير مجله بين النهرين بعد وفاه القس يوسف حبي ، اصدر القس 
537,علي الطالب ,علي الطالب ,True,,,,
538,علي الطالب ,سعد ال الطالب,False,MISC,,,"و هو الولد الاكبر ل لحاج طالب "" و هو من ذوي الحظوظ و "
539,علي الطالب ,ال الطالب,False,MISC,,,و كان ل هم في الموصل اصطبلان كبيران الاول الطوله الكبيره و تبدا من دور 
540,علي الطالب ,سليمان فيضي,False,,,سليمان فيضي,يقول 
541,علي الطالب ,عبدالله الفارس,False,MISC,,,و على رصيف ميناء بومبي كان في استقبال نا 
542,علي الطالب ,جارالله الطالب,False,MISC,,,و 
543,علي الطالب ,ال الطالب,False,MISC,,,و بعد اخذ ورد توصل نا الى قسمه عادله هي ان اكون انا من نصيب 
544,علي الطالب ,ال فارس,False,MISC,,,و بعد اخذ ورد توصل نا الى قسمه عادله هي ان اكون انا من نصيب ال الطالب و ان يكون زملائي الثلاثه من نصيب 
545,علي الطالب ,ال الطالب,False,MISC,,,و في خلال الايام العشره التي قضيت ها في بومبي لقيت من 
546,علي الطالب ,ال الطالب,False,MISC,,,و نزل ضيفا على الحاج علي عميد اسره 
547,علي الطالب ,عبد الباري,False,FRIENDSHIP,صحبه,عبد الباري النجم,ل لحاج علي ولدان ابراهيم و عبدالعزيز و كان ل لاخير صحبه مع الرضواني ايضا و اولاد عبدالعزيز : عبدالخالق مزارع و عبدالمالك دكتورا ه في التحليلات المرضيه و 
548,السيد مهيدي,سعيد خضر,False,WSTUDY,استاذ,سعيد خضر,رائد الايقاع في الموصل اشتغل في العديد من المسارح و الملاهي و هو استاذ 
549,السيد مهيدي,احمد خضر,False,WSTUDY,استاذ,,رائد الايقاع في الموصل اشتغل في العديد من المسارح و الملاهي و هو استاذ سعيد خضر و علو و 
550,الفونس جميل شوريز ,معروف الرصافي,False,WSTUDY,مدرسه,,جانب قابليات ه الشعريه و الغنائيه و الموسيقى و كان مدير الموسيقى في مدرسه الاباء و من مخلفات ه تلحين ه ل قصيده سمعت شعرا ل لعندليب ل لشاعر 
551,اليزه سليمان جبري ,اليزه جبري,False,MISC,,,الروضه الثانيه 1937-1932 : اسست 
552,اليزه سليمان جبري ,اليزه جبري,False,MISC,,,في شارع حلب ثم بنايه مقابل حديقه الشهداء ثم في دار في الشارع الموازي ل لسجن ثم في عقار ل لصابونجي في شارع الدواسه ب ها ملحقات و شاركت 
553,اليزه سليمان جبري ,اليزه جبري,False,MISC,,,روضه الثوره في الجانب الايسر 1961، و روضه الافلاذ في اوائل الستينات حيث ثم فصل احد الملحقين ل يكون روضه مستقله عينت ل ادارت ها نديمه اوغسطين و حصلت 
554,امجد توفيق ,امجد توفيق ,True,,,,
555,امجد توفيق ,لطيفه الدليمي,False,COMPANY,الاشتراك,,و شغلت ه امور الحياه و نشر قصصا متفرقه في الصحف و المجلات العراقيه و العربيه حتى اصدرت مجله الطليعه الادبيه كتاب القصه ضم مختارات قصصيه ب الاشتراك مع 
556,امجد توفيق ,امجد توفيق ,True,,,,شعب ب اكمل ه الا ان عزيمه العراقيين الصلده وقفت في وجه الاعتداء و تحملت ب صبر و عناد اضرار الحصار و جرائم ه و يمتاز البناء القصصي عند 
557,امجد توفيق ,امجد توفيق ,True,,,,ب مثل هذه البساطه يروي ل نا 
558,امجد توفيق ,حسن صديق,False,MISC,,,ف اذا لم يكن اللصوص الذين يسطون على الشجره اهل القريه معروفين من قبل 
559,امجد توفيق ,امجد توفيق ,True,,,,"ب ترقب ف قلت ل هم ب ان الحكايه انتهت ف هزوا رؤوس هم ب اسف ف عرفت ب ان ها لم ترق ل هم "". ان مايميز قصص "
560,امجد توفيق ,امجد توفيق ,True,,,,البدايه و النهايه نجد ه ملموسا في قصص المجموعه الاخرى السيف و الزائره ، مملكه الوعول ، حفنه ثلج ، لحن جديد ل اغنيه قديمه ). و قد يعمد 
561,امجد توفيق ,امجد توفيق ,True,,,,و نجد في عجوز 
562,امجد توفيق ,امجد توفيق ,True,,,,و نجد في عجوز امجد توفيق ملامح من عجوز همنغواي مع فارق اساس هو ان همنغاواي عني ب عجوز ه اكثر من عنايه 
563,امين عبدالله اغا ,امين عبدالله اغا ,True,,,,رايت ان من الضروري علي تقديم بعض المعلومات الاضافيه الموثقه عن جريده الاساس التي كان والد ي السيد 
564,امين عبدالله اغا ,ربيع الاول,False,MISC,,,ل ذا سعيت الى اكمال ما ذهب الي ه الاخرون ب المعلومات الجديده و هي :- 1- ان تاريخ صدور العدد الاول : السنه الاولى ، الموصل الاحد 27 
565,امين عبدالله اغا ,عصام محمد محمود,False,MISC,,عصام محمد محمود,مطبوعات الموصل : منذ سنه 1861-1970 جمع و ترتيب 
566,امين عبدالله اغا ,ابراهيم خليل احمد,False,MISC,,,في الصفحه 21 ان الجريده صدرت في الموصل في مايس عام 1953 و الغي احتياز ها في 17/12/1954 ج- نشاه الصحافه في الموصل و تطور ها 1885-1985 ل لدكتور 
567,امين عبدالله اغا ,البيرقسطو المحامي,False,MENTION,ذكر,,ذاكرا في الصفحه 27 ان الجريده صدرت في 24 ايار 1953.2- في المعلومات المنشوره عن ها اقتصر على ذكر السيد 
568,امين عبدالله اغا ,عبدالقادر يوسف الخليل المحامي,False,MENTION,ذكر,,في 24 ايار 1953.2- في المعلومات المنشوره عن ها اقتصر على ذكر السيد البيرقسطو المحامي على ان ه المدير المسؤول في ها ب صوره مفرده بينما الصحيح ان السيد 
569,امين عبدالله اغا ,امين عبدالله اغا ,True,,,,4- في نهايه هذه الكلمه اقول : يعتبر الاستاذ 
570,اندراوس حنا ,اندراوس حنا ,True,,,,
571,اندراوس حنا ,بولص الرسولي,False,MISC,,,2- استشهاد مار جرجيس3 - اهتداء مار 
572,انمار التك ,انمار التك ,True,,,,
573,اوغسطين مرمرجي ,اوغسطين مرمرجي ,True,,,,
574,ايهاب احمد ,عبدالحليم حافظ,False,FAMILY,ام,,و شبابيه و يفضل الاغاني الحديثه ل ان ها خفيفه و سهله و ينسجم الجمهور مع ها و يردد ها ب سرعه و هو معجب باغاني ام كلثوم و 
575,ايوب صبري الخياط ,جمال الخياط المحامي,False,WSTUDY,اعداديه,,و درس اللغه العربيه في اعداديه الموصل ثم في الثانويه الشرقيه قبل ان ينتقل مع اسرت ه الى بغداد و بقي في ها حتى وفات ه و هو والد 
576,ايوب صبري الخياط ,جلال الخياط,False,FAMILY,والد,جلال ايوب صبري الخياط,اعداديه الموصل ثم في الثانويه الشرقيه قبل ان ينتقل مع اسرت ه الى بغداد و بقي في ها حتى وفات ه و هو والد جمال الخياط المحامي و الدكتور 
577,ايوب صبري الخياط ,ايوب صبري الخياط ,True,,,,و قد درس 
578,ايوب صبري الخياط ,اسماعيل فرج,False,WSTUDY,رئيس,اسماعيل حقي فرج,:- 1- الخواطف المستقاه من محاضره الاسلام و سدن الجماعات 1948. 2- ترجمه ابراهيم الواعظ رئيس محكمه استئناف الموصل 1948. 3- شرح كتاب القضاء الاسلامي و تاريخ ه ل 
579,ايوب صبري الخياط ,ناظم العمري,False,WSTUDY,رئيس,,ترجمه ابراهيم الواعظ رئيس محكمه استئناف الموصل 1948. 3- شرح كتاب القضاء الاسلامي و تاريخ ه ل اسماعيل فرج 1949. و كان عضوا في الندوه العمريه التي اقام ها 
580,ايوب صبري الخياط ,عبدالخالق طه,False,MISC,,عبدالخالق اسماعيل طه,اسماعيل فرج 1949. و كان عضوا في الندوه العمريه التي اقام ها ناظم العمري في دار ه و من زملائ ه في الندوه ابراهيم الواعظ و نعمتالله النعمه و 
581,ايوب صبري الخياط ,ذنون الشهاب,False,MISC,,,و كان عضوا في الندوه العمريه التي اقام ها ناظم العمري في دار ه و من زملائ ه في الندوه ابراهيم الواعظ و نعمتالله النعمه و عبدالخالق طه و 
582,ايوب صبري الخياط ,محمد سعيد الجليلي,False,MISC,,محمد سعيد الجليلي,في الندوه العمريه التي اقام ها ناظم العمري في دار ه و من زملائ ه في الندوه ابراهيم الواعظ و نعمتالله النعمه و عبدالخالق طه و ذنون الشهاب و 
583,ايوب صبري الخياط ,اسماعيل حقي فرج,False,MISC,,اسماعيل حقي فرج,اقام ها ناظم العمري في دار ه و من زملائ ه في الندوه ابراهيم الواعظ و نعمتالله النعمه و عبدالخالق طه و ذنون الشهاب و محمد سعيد الجليلي و 
584,ايوب صبري الخياط ,ايوب صبري الخياط ,True,,,,و كان 
585,ايوب صبري الخياط ,ايوب صبري الخياط ,True,,,,و جل نشاط ه الادبي ظهر في الندوه العمريه و قدم ابراهيم الواعظ في كتاب ه المساجلات الموصليه في الندوه العمريه 1949 رثاء يرثي في ه 
586,ايوب صبري الخياط ,اسماعيل حقي فرج,False,FRIENDSHIP,زميل,اسماعيل حقي فرج,جل نشاط ه الادبي ظهر في الندوه العمريه و قدم ابراهيم الواعظ في كتاب ه المساجلات الموصليه في الندوه العمريه 1949 رثاء يرثي في ه ايوب صبري زميل ه 
587,ايوب صبري الخياط ,ايوب صبري الخياط ,True,,,,اعرض اسطرا من ها ل لتعرف على اسلوب نثر ه : قال 
588,ايوب صبري الخياط ,اسماعيل فرج,False,MENTION,قال,اسماعيل حقي فرج,اعرض اسطرا من ها ل لتعرف على اسلوب نثر ه : قال ايوب صبري على قبر 
589,باسل كامل دلالي  ,وعد التدريسي,False,WSTUDY,كليه,,8- كيمياء الاغذيه 1988 9- التكنلوجيا الحيويه 1993 حصل على جائزه اتحاد مجالس البحث العلمي العربيه 10- اساسيات الكيمياء الحيويه 1994. عُرف ب حسن ادارت ه ل كليه الزراعه 
590,باسم ذنون يونس ,يوسف ذنون,False,MISC,,يوسف ذنون,تعرف ب حروف خط الرقعه عام 1965 و بدا دراست ه ل لخط على يد 
591,باسم ذنون يونس ,يوسف ذنون,False,MISC,,يوسف ذنون,تعرف ب حروف خط الرقعه عام 1965 و بدا دراست ه ل لخط على يد يوسف ذنون في مقهى شعبي يسمى يحيى كان 
592,باسم ذنون يونس ,احمد حسن,False,MISC,,,و حصل على تكريم الرئيس 
593,باسم ذنون يونس ,سالم عبدالهادي,False,WSTUDY,تلامذت,,و حصل على تكريم الرئيس احمد حسن البكر ل مشاركت ه في معرض الخط العربي عام 1973. و من ابرز تلامذت ه 
594,باسم ذنون يونس ,علي احمد حسن,False,WSTUDY,تلامذت,,و حصل على تكريم الرئيس احمد حسن البكر ل مشاركت ه في معرض الخط العربي عام 1973. و من ابرز تلامذت ه سالم عبدالهادي و 
595,باسم ذنون يونس ,زكي ابراهيم,False,FAMILY,كنت,زكي ابراهيم حسن,المعلمين و على الرغم من ذلك استطاع ان يحقق ل ه مكانه مرموقه في مجال الخط العربي و لم التقي ه الا عام 1993 و كنت في زياره ل 
596,بسام ادريس الجلبي  ,بسام ادريس الجلبي  ,True,,,,
597,بسام ادريس الجلبي  ,ال الجلبي,False,WSTUDY,معلمه,,يحمد علي ه عن فتى العراق ايار / 2005 ). ولد بسام ادريس عبدالله الجلبي في الموصل و كان والد ه موظفا و والدت ه معلمه و هي من 
598,بسام ادريس الجلبي  ,بسام الجلبي,False,MISC,,,انهى 
599,بسام ادريس الجلبي  ,بسام الجلبي,False,MISC,,,و 
600,بسام ادريس الجلبي  ,ادريس الجلبي,False,MISC,,,الى الاداء الافضل و الخدمه النظيفه التي تصب في مصلحه مدينه الموصل و صدر كتاب ه موسوعه اعلام الموصل في جزاين عام 2004. صدرت موسوعه اعلام الموصل 2004 لبسام 
601,بسام ادريس الجلبي  ,محمد عبدالله عمار الموصلي,False,MISC,,,و قد استعرض جهود مؤرخي الموصل م من كتبوا في اعلام ها على مر القرون ابتداء ب 
602,بسام ادريس الجلبي  ,عمر محمد مصطفى الطالب,False,MISC,,عمر محمد مصطفى الطالب,كتبوا في اعلام ها على مر القرون ابتداء ب محمد عبدالله عمار الموصلي 162-242 ه و انتهاء ب نخبه من الذين الفو في هذا المجال و من هم الدكتور 
603,بسام ادريس الجلبي  ,ميسر صالح الامين,False,MISC,,ميسر صالح الامين,القرون ابتداء ب محمد عبدالله عمار الموصلي 162-242 ه و انتهاء ب نخبه من الذين الفو في هذا المجال و من هم الدكتور عمر محمد مصطفى الطالب و المرحوم 
604,بشار عبدالله ,سعد محمود,False,COMPANY,الاشتراك,,مصطلح القصاصه اشاره الى الا همال الذي لقيت ه الكتابه خلال الثمانينات )، و جاءت تلك التسميه ضمن وثيقه القصاصه 1993 التي اصدر ها ب الاشتراك مع الناقد العراقي 
605,بشار عبدالله ,فاتح عبدالسلام,False,MISC,,فاتح عبدالسلام,نشر ل ه :- الترجمه الانكليزيه ل مجموعه 
606,بشار عبدالله ,فاتح عبدالسلام,False,MISC,,فاتح عبدالسلام,نشر ل ه :- الترجمه الانكليزيه ل مجموعه فاتح عبدالسلام القصصيه الشيخ نيوتن عن دار النمرود للنشر- الموصل 1986. -الترجمه الانكليزيه ل روايه 
607,بشار عبدالله ,سعد محمود,False,COMPANY,الاشتراك,,الموصل 1986. -الترجمه الانكليزيه ل روايه فاتح عبدالسلام عند ما يسخن ظهر الحوت عن دار هاتس اوف الامريكيه- ولايه تكسون 2003. -كتاب القاب الجمجمه ب الاشتراك مع الناقد العراقي 
608,بشار عبدالله ,ناجي نعمان,False,MISC,,,-صدرت ل ه روايت ه الشعريه من يسكب الهواء في رئه القمر ضمن منشورات 
609,بشار عبدالله ,جورج كريكور,False,MISC,,,الشعريه من يسكب الهواء في رئه القمر ضمن منشورات ناجي نعمان الادبيه ، ل فوز ها ب جائزه الاستحقاق في الروايه العربيه 2005، و قد اعتمد المستشرق الروماني البروفسور 
610,بشرى البستاني ,بشرى البستاني ,True,,,,
611,بشرى البستاني ,بشرى البستاني ,True,,,,و عملت 
612,بشير الصقال ,بشير الصقال ,True,,,,
613,بشير الصقال ,عبدالله البحراني,False,WSTUDY,قرا,,ولد بشير احمد عزالدين الصقال في مدينه الموصل عام 1906 في بيت علم و تقى ، دخل الكتاب ك عاده اطفال المدينه ، و قرا القران الكريم على السيد 
614,بشير الصقال ,احمد حميد الحمداني,False,MISC,,,و واصل في ها الدراسه حتى الصف السادس الابتدائي ، ثم ترك ها ل يلتحق ب حلقات الشيوخ من علماء الموصل ل لحصول على العلوم الشرعيه ، فدرس على 
615,بشير الصقال ,صالح الجهادي,False,MISC,,صالح الجهادي,ثم ترك ها ل يلتحق ب حلقات الشيوخ من علماء الموصل ل لحصول على العلوم الشرعيه ، فدرس على احمد حميد الحمداني المعروف ب المسدّي ، و على الشيخ 
616,بشير الصقال ,العلامه محمد الرضواني,False,CONTACT,اتصل,,، فدرس على احمد حميد الحمداني المعروف ب المسدّي ، و على الشيخ صالح الجهادي الشهير ب البربر و السيد داود الوضحه ، و اتصل بعد ذلك ب الشيخ 
617,بشير الصقال ,عبدالله النعمه,False,CONTACT,اتصل,عبدالله محمد جرجيس النعمه,المسدّي ، و على الشيخ صالح الجهادي الشهير ب البربر و السيد داود الوضحه ، و اتصل بعد ذلك ب الشيخ العلامه محمد الرضواني و ل ازم حلقه الشيخ 
618,بشير الصقال ,بشير الصقال ,True,,,,كان 
619,بشير الصقال ,حكمت علي,False,MISC,,,العاملين على فتح فرع جمعيه الشبان المسلمين في الموصل ، و عرف الصقال ب مقاومت ه ل لنفوذ البريطاني و تاييد ه ل حركه رشيد عالي الكيلاني ، ف 
620,بشير الصقال ,محمد ياسين,False,WSTUDY,تلامذت,محمد ياسين السنجاري,او الباب الذي يّدرس ه قبل عرض ه على طلبت ه ، و من تلامذت ه الذين ل هم اثر في الحياه الدينيه و الشرعيه في مدينه الموصل : 
621,بشير الصقال ,محمود حسن,False,WSTUDY,تلامذت,,على طلبت ه ، و من تلامذت ه الذين ل هم اثر في الحياه الدينيه و الشرعيه في مدينه الموصل : محمد ياسين ، و محمد العمر ، و 
622,بشير الصقال ,عبدالرحمن احمد,False,,,,تلامذت ه الذين ل هم اثر في الحياه الدينيه و الشرعيه في مدينه الموصل : محمد ياسين ، و محمد العمر ، و محمود حسن عكل ه ، و 
623,بشير الصقال ,نوري عبدالله,False,MISC,,,الشرعيه في مدينه الموصل : محمد ياسين ، و محمد العمر ، و محمود حسن عكل ه ، و عبدالرحمن احمد المحمود ، و ابراهيم نعمي ذنون ، و 
624,بشير الصقال ,اكرم عبدالوهاب,False,MISC,,اكرم عبدالوهاب ,: محمد ياسين ، و محمد العمر ، و محمود حسن عكل ه ، و عبدالرحمن احمد المحمود ، و ابراهيم نعمي ذنون ، و نوري عبدالله ، و 
625,بشير الصقال ,ابراهيم النعمه,False,MISC,,ابراهيم النعمه,و محمد العمر ، و محمود حسن عكل ه ، و عبدالرحمن احمد المحمود ، و ابراهيم نعمي ذنون ، و نوري عبدالله ، و اكرم عبدالوهاب ، و 
626,بشير الصقال ,ابراهيم النعمه,False,MISC,,ابراهيم النعمه,"رسائل ه الى الصقال "" ان المقالات التي تكتبون ها ل مما تقّرب ها اعين امثالي "" و لم يكن الصقال بعد قد تجاوز السابعه عشره من عمر ه "
627,بشير الصقال ,عبدالله الصوفي,False,MENTION,ذكر,,النعمه ، اليقظه الاسلاميه ، ص13 و ذكر النعمه ايضا في كتاب ه انف الذكر ص14 طموح الصقال في اصدار جريده ، تمكن من اصدار ها ب اسم الشيخ 
628,بشير الصقال ,ابراهيم النعمه,False,,,ابراهيم النعمه,يقول 
629,بشير الصقال ,جمالالدين الافغاني,False,MISC,,,شيئا من الاعلانات و تصحيح الجريده يتحمل هو عبئ ه الاكبر ، و هكذا اغلقت الجريده و الغى امتياز ها ص14 و اتبع الصقال نهج الشيخ محمد عبده و 
630,بشير الصقال ,جمالالدين الافغاني,False,MENTION,قال,,ه ، و قد تاثر ب محمد عبده تاثرا كبيرا و قال في ها ل هذا رجل عظيم ، استطاع ان يخدم الاسلام خدمه كبيره هو و استاذ ه 
631,بشير الصقال ,العالم الاسلامي,False,MISC,,,ه جمالالدين الافغاني ، و اذا كانت السهام قد انتقلت و ريشت و رمي ب ها هذان العالمان ف ل ان كلا من هما بذل جهودا كبيره في ايقاظ 
632,بشير الصقال ,ابراهيم النعمه,False,MISC,,ابراهيم النعمه,علي هم ان يروا افكارا اسلاميه تنطلق من عقال التقليد الاعمى و يتلقف ها الناس ب اعجاب شديد ف صار الجامدون يشنون الحملات تلو الحملات ضد هاتين الشخصيتين العظيمتين 
633,بشير الصقال ,عبدالله النعمه,False,WSTUDY,شيخ,عبدالله محمد جرجيس النعمه,قام ب تشكيل جمعيه البر الاسلاميه ، و في هذه الجمعيه ميتم يقبل في ه سبعون طالبا من الطلاب اليتامى و صار رئيسا ل لجمعيه بعد وفاه شيخ ه 
634,بشير الصقال ,محمد علي الياس العدواني,False,WSTUDY,اجاز,محمد علي الياس العدواني,الموصل و عقره و ل ه كتاب اليقظه الاسلاميه في العصر الحديث و قد اجاز الصقال عددا من طلبت ه الذين اخذوا العلم عن ه ، من هم : 
635,بشير الصقال ,شاكر النعمه,False,WSTUDY,اجاز,,كتاب اليقظه الاسلاميه في العصر الحديث و قد اجاز الصقال عددا من طلبت ه الذين اخذوا العلم عن ه ، من هم : محمد علي الياس العدواني ، و 
636,بشير الصقال ,محمد ياسين,False,WSTUDY,اجاز,محمد ياسين السنجاري,العصر الحديث و قد اجاز الصقال عددا من طلبت ه الذين اخذوا العلم عن ه ، من هم : محمد علي الياس العدواني ، و شاكر النعمه ، و 
637,بشير الصقال ,محمد عمر الحديدي,False,WSTUDY,اجاز,محمد عمر محمود العشو,قد اجاز الصقال عددا من طلبت ه الذين اخذوا العلم عن ه ، من هم : محمد علي الياس العدواني ، و شاكر النعمه ، و محمد ياسين و 
638,بشير الصقال ,نعمان حسين الموالي,False,MISC,,,من طلبت ه الذين اخذوا العلم عن ه ، من هم : محمد علي الياس العدواني ، و شاكر النعمه ، و محمد ياسين و محمد عمر الحديدي و 
639,بشير الصقال ,محمود حسن,False,MISC,,,، من هم : محمد علي الياس العدواني ، و شاكر النعمه ، و محمد ياسين و محمد عمر الحديدي و نعمان حسين الموالي ، و شمسالدين البدري و 
640,بشير الصقال ,عبدالهادي الحاج علي,False,MISC,,,علي الياس العدواني ، و شاكر النعمه ، و محمد ياسين و محمد عمر الحديدي و نعمان حسين الموالي ، و شمسالدين البدري و محمود حسن عكل ه و 
641,بشير الصقال ,ابراهيم خلف,False,MISC,,,و شاكر النعمه ، و محمد ياسين و محمد عمر الحديدي و نعمان حسين الموالي ، و شمسالدين البدري و محمود حسن عكل ه و عبدالهادي الحاج علي و 
642,بشير الياس اللوس  ,العالم العربي,False,MISC,,,و مقدمه عن مستقبل العراق ل لسير وليام ويلكوكس 1937 مترجم ). 2- انت و الوراثه ل امرام شانيفلد 1950 ترجمه ). 3- البراغيث و الطاعون في العراق و 
643,بشير حسن القطان ,بشير حسن القطان ,True,,,,
644,بشير حسن القطان ,ذنون الشهاب,False,COMPANY,ساهم,,دراست ه و اظهر نشاطا و حماسا في لجنه الخطابه في المدرسه الاعداديه و ساهم في اصدار مجله الالهام التي اصدرت ها المدرسه الاعداديه في الموصل ب اشراف الاستاذ 
645,بشير حسن القطان ,حقي الشبلي,False,MISC,,,شكسبير التي تحمل هذا الاسم في دار المعلمين العاليه عام 1949 و ادى دور اوديب في مسرحيه سوفوكليس اوديب ملكا عام 1950 و قد اخرج هما عميد المسرح العراقي 
646,بشير حسن القطان ,بشير حسن القطان ,True,,,,الاسم في دار المعلمين العاليه عام 1949 و ادى دور اوديب في مسرحيه سوفوكليس اوديب ملكا عام 1950 و قد اخرج هما عميد المسرح العراقي حقي الشبلي و اظهر 
647,بشير حسن القطان ,حقي الشبلي,False,MISC,,,مسرحيه سوفوكليس اوديب ملكا عام 1950 و قد اخرج هما عميد المسرح العراقي حقي الشبلي و اظهر بشير حسن مقدره كبيره في الاداء اثارت اعجاب و دهشه الجمهور و 
648,بشير حسن القطان ,بشير حسن القطان ,True,,,,
649,بشير حسن القطان ,بشير حسن القطان ,True,,,,بشير حسن و الشعر : يتمحور شعر 
650,بشير حسن القطان ,بشير حسن القطان ,True,,,,و هو ميال الى البناء العمودي ل لقصيده غير ان ه يمارس بنيه الشعر الحديث الحر في احيان اخرى بدا 
651,بشير حسن القطان ,شاذل طاقه,False,MISC,,شاذل طاقه,ميال الى البناء العمودي ل لقصيده غير ان ه يمارس بنيه الشعر الحديث الحر في احيان اخرى بدا بشير حسن نظم الشعر مع الشعراء الموصليين الرواد من الشباب : 
652,بشير حسن القطان ,محمود المحروق,False,MISC,,محمود المحروق,العمودي ل لقصيده غير ان ه يمارس بنيه الشعر الحديث الحر في احيان اخرى بدا بشير حسن نظم الشعر مع الشعراء الموصليين الرواد من الشباب : شاذل طاقه و 
653,بشير حسن القطان ,هاشم الطعان,False,MISC,,هاشم الطعان,غير ان ه يمارس بنيه الشعر الحديث الحر في احيان اخرى بدا بشير حسن نظم الشعر مع الشعراء الموصليين الرواد من الشباب : شاذل طاقه و محمود المحروق و 
654,بشير حسن القطان ,احمد المختار,False,MISC,,احمد محمد المختار,يمارس بنيه الشعر الحديث الحر في احيان اخرى بدا بشير حسن نظم الشعر مع الشعراء الموصليين الرواد من الشباب : شاذل طاقه و محمود المحروق و هاشم الطعان و 
655,بشير حسن القطان ,عبدالحليم اللاوند,False,MISC,,عبدالحليم اللاوند,الحديث الحر في احيان اخرى بدا بشير حسن نظم الشعر مع الشعراء الموصليين الرواد من الشباب : شاذل طاقه و محمود المحروق و هاشم الطعان و احمد المختار و 
656,بشير طه ,فائق حسن,False,WSTUDY,درس,,ولد في الموصل تخرج من قسم الرسم ب معهد الفنون الجميله عام 1960 درس على 
657,بشير طه ,اسماعيل الشيخلي,False,WSTUDY,درس,,ولد في الموصل تخرج من قسم الرسم ب معهد الفنون الجميله عام 1960 درس على فائق حسن و 
658,بشير مصطفى ,بشير مصطفى ,True,,,,
659,بشير مصطفى ,بشير مصطفى ,True,,,,امتاز الشاعر 
660,بشير مصطفى ,بشير مصطفى ,True,,,,ب خجول و يعافون ب العنا سلسبيلاوهو اذ يلقي الشعر في المحافل يختار المناسبه اختيارا ك ما فعل في حفل مبره يوم التاج في دار العجزه و لا ينسى 
